location,year,blowdown
PENP-1-1,2019,0
PENP-1-2,2019,0
PENP-1-3,2019,0
PENP-2-3,2019,0
PENP-3-1,2019,0
PENP-3-2,2019,0
PENP-3-4,2019,0
PENP-4-1,2019,0
PENP-4-2,2019,0
PENP-4-3,2019,0
PENP-4-4,2019,0
PENP-1-1,2020,0
PENP-1-2,2020,0
PENP-1-4,2020,0
PENP-2-3,2020,0
PENP-3-1,2020,0
PENP-3-2,2020,0
PENP-3-5,2020,0
PENP-3-6,2020,0
PENP-4-1,2020,0
PENP-4-2,2020,0
PENP-4-3,2020,0
PENP-4-4,2020,0
ASC-1,2021,0
LXI-1,2021,0
PENP-1-1,2021,0
PENP-1-2,2021,0
PENP-1-3,2021,0
PENP-1-4,2021,0
PENP-1-5,2021,0
PENP-1-6,2021,0
PENP-2-3,2021,0
PENP-3-1,2021,0
PENP-3-2,2021,0
PENP-3-4,2021,0
PENP-3-5,2021,0
PENP-3-6,2021,0
PENP-3-7,2021,0
PENP-3-8,2021,0
PENP-4-1,2021,0
PENP-4-2,2021,0
PENP-4-3,2021,0
PENP-4-4,2021,0
PENP-4-6,2021,0
PENP-5-1,2021,0
PENP-BS-1,2021,0
PENP-BS-2,2021,0
PENP-BS-3,2021,0
PENP-BS-4,2021,0
PENP-BS-5,2021,0
PENP-1-1,2022,0
PENP-1-2,2022,0
PENP-1-3,2022,0
PENP-1-4,2022,0
PENP-1-5,2022,0
PENP-1-6,2022,0
PENP-2-3,2022,0
PENP-3-1,2022,0
PENP-3-2,2022,0
PENP-3-4,2022,0
PENP-3-5,2022,0
PENP-3-6,2022,0
PENP-3-7,2022,0
PENP-3-8,2022,0
PENP-4-1,2022,0
PENP-4-2,2022,0
PENP-4-3,2022,0
PENP-4-4,2022,0
PENP-4-5,2022,0
PENP-4-6,2022,0
PENP-5-1,2022,0
PENP-E1,2022,0
PENP-1-1,2023,1
PENP-1-2,2023,1
PENP-1-4,2023,1
PENP-1-5,2023,0
PENP-1-6,2023,1
PENP-2-3,2023,1
PENP-3-1,2023,0
PENP-3-2,2023,0
PENP-3-4,2023,0
PENP-3-5,2023,0
PENP-3-6,2023,0
PENP-3-7,2023,1
PENP-3-8,2023,0
PENP-4-1,2023,0
PENP-4-2,2023,0
PENP-4-3,2023,0
PENP-4-4,2023,1
PENP-4-5,2023,0
PENP-4-6,2023,0
PENP-5-1,2023,0
PENP-BS-6,2023,0